"CountryName";"CountryCode";"Date";"StringencyIndexForDisplay";"GovernmentResponseIndexForDisplay";"ContainmentHealthIndexForDisplay";"EconomicSupportIndexForDisplay"
"Ukraine";"UKR";"20200126";0;0;0;0
"Ukraine";"UKR";"20200226";0;2.08;2.38;0
"Ukraine";"UKR";"20200326";88.89;61.98;65.48;37.5
"Ukraine";"UKR";"20200331";88.89;61.98;65.48;37.5
"Ukraine";"UKR";"20200410";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200419";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200430";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200620";68.06;60.16;63.39;37.5
"Ukraine";"UKR";"20200717";41.67;45.31;46.43;37.5
"Ukraine";"UKR";"20200803";57.87;57.55;60.42;37.5
"Ukraine";"UKR";"20200808";57.87;57.55;60.42;37.5
"Ukraine";"UKR";"20200924";64.35;63.28;66.96;37.5
"Ukraine";"UKR";"20201002";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201009";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201011";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201114";61.57;61.72;65.18;37.5
"Ukraine";"UKR";"20200103";0;0;0;0
"Ukraine";"UKR";"20200207";0;2.08;2.38;0
"Ukraine";"UKR";"20200301";0;2.08;2.38;0
"Ukraine";"UKR";"20200307";11.11;8.33;9.52;0
"Ukraine";"UKR";"20200314";50;36.98;40.48;12.5
"Ukraine";"UKR";"20200318";88.89;58.85;65.48;12.5
"Ukraine";"UKR";"20200323";88.89;58.85;65.48;12.5
"Ukraine";"UKR";"20200330";88.89;61.98;65.48;37.5
"Ukraine";"UKR";"20200404";88.89;66.67;70.83;37.5
"Ukraine";"UKR";"20200415";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200417";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200722";41.67;45.31;46.43;37.5
"Ukraine";"UKR";"20200727";41.67;45.31;46.43;37.5
"Ukraine";"UKR";"20200921";64.35;63.28;66.96;37.5
"Ukraine";"UKR";"20201013";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201024";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201031";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201104";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20200129";0;0;0;0
"Ukraine";"UKR";"20200203";0;0;0;0
"Ukraine";"UKR";"20200220";0;2.08;2.38;0
"Ukraine";"UKR";"20200414";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200423";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200426";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200505";88.89;68.75;73.21;37.5
"Ukraine";"UKR";"20200511";88.89;73.96;79.17;37.5
"Ukraine";"UKR";"20200524";83.33;70.83;75.6;37.5
"Ukraine";"UKR";"20200530";83.33;70.83;75.6;37.5
"Ukraine";"UKR";"20200601";76.39;66.93;71.13;37.5
"Ukraine";"UKR";"20200629";41.67;45.31;46.43;37.5
"Ukraine";"UKR";"20200715";41.67;45.31;46.43;37.5
"Ukraine";"UKR";"20200906";64.35;61.2;64.58;37.5
"Ukraine";"UKR";"20201012";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201030";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201108";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20201110";58.8;60.16;63.39;37.5
"Ukraine";"UKR";"20200106";0;0;0;0
"Ukraine";"UKR";"20200107";0;0;0;0
"Ukraine";"UKR";"20200123";0;0;0;0
"Ukraine";"UKR";"20200131";0;0;0;0
"Ukraine";"UKR";"20200201";0;0;0;0
"Ukraine";"UKR";"20200211";0;2.08;2.38;0
"Ukraine";"UKR";"20200212";0;2.08;2.38;0
"Ukraine";"UKR";"20200303";11.11;8.33;9.52;0
"Ukraine";"UKR";"20200316";64.81;45.31;50;12.5
"Ukraine";"UKR";"20200319";88.89;58.85;65.48;12.5
