_id,regionId,regionName,date,bedReservedOxygen,bedUsedOxygen,bedUsedConfirmedOxygen,bedUsedSuspiciousOxygen,url,bedReservedReanimation,bedUsedReanimation,bedUsedConfirmedReanimation,bedUsedSuspiciousReanimation,bedReservedChildren,bedUsedChildren,bedUsedConfirmedChildren,bedUsedSuspiciousChildren,bedReservedMaternity,bedUsedMaternity,bedUsedConfirmedMaternity,bedUsedSuspiciousMaternity,bedReservedTotal,bedReservedTotalCovid,bedReservedTotalOther,bedUsedTotalCovid,bedReservedOxigen,bedReservedOxigenCovid,bedReservedOxigenOther,bedUsedOxigenCovid,bedReservedReanimationCovid,bedReservedReanimationOther,bedUsedReanimationCovid,HospitalizedPerDay,RecoveredPerDay,usedIvm,usedEkmoCovid,usedEkmoSuspicious,vaccinationAstraZeneca1,vaccinationPfizer1,vaccinationSinovac1,vaccinationNovavax1,vaccinationAge18_20_1,vaccinationAge20_39_1,vaccinationAge40_49_1,vaccinationAge50_59_1,vaccinationAge60_69_1,vaccinationAge70_79_1,vaccinationAge80__1
607de70301199d2a103fb875,105,Вінницька область,2021-02-24,2807,1069,671,398,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=105,251,106,84,22,70,70,39,31,60,15,7,8,4290,3080,1210,1627,3157,2807,350,1069,211,40,106,255,208,56,0,0,10,0,0,null,0,2,5,3,0,0,0
607de70301199d2a103fb876,107,Волинська область,2021-02-24,1476,336,295,41,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=107,203,52,46,6,46,7,0,7,35,1,0,1,4749,1569,3180,532,1814,1476,338,336,135,68,52,66,64,11,0,0,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb877,112,Дніпропетровська область,2021-02-24,4028,675,498,177,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=112,321,113,88,25,235,55,4,51,30,1,1,0,9934,4813,5121,1162,4304,4028,276,675,234,87,113,175,129,27,0,0,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb878,114,Донецька область,2021-02-24,3364,423,277,146,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=114,268,51,42,9,207,18,10,8,47,0,0,0,8777,3857,4920,626,3611,3364,247,423,208,60,51,81,108,21,0,0,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb879,118,Житомирська область,2021-02-24,2374,810,634,176,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=118,266,72,63,9,127,10,6,4,30,4,4,0,5273,2701,2572,831,2754,2374,380,810,216,50,72,134,83,33,0,0,40,0,0,null,0,16,10,9,5,0,0
607de70301199d2a103fb87a,121,Закарпатська область,2021-02-24,1479,792,745,47,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=121,201,108,102,6,41,8,5,3,31,8,8,0,5114,2145,2969,1501,1556,1479,77,792,141,60,108,181,152,25,1,0,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb87b,123,Запорізька область,2021-02-24,2357,329,258,71,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=123,440,61,55,6,170,23,3,20,67,0,0,0,8396,2881,5515,477,2894,2357,537,329,243,197,61,82,76,25,0,5,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb87c,126,Івано-Франківська область,2021-02-24,2891,1644,1439,205,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=126,232,167,147,20,155,53,32,21,103,42,28,14,6446,3847,2599,2959,3094,2891,203,1644,210,22,167,324,262,88,0,0,0,0,0,null,0,0,0,0,0,0,0
607de70301199d2a103fb87d,132,Київська область,2021-02-24,2462,573,486,87,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=132,192,62,58,4,107,9,3,6,81,1,1,0,5532,2770,2762,685,2703,2462,241,573,182,10,62,105,68,12,0,0,19,0,0,null,0,8,7,0,4,0,0
607de70301199d2a103fb87e,135,Кіровоградська область,2021-02-24,1050,139,127,12,https://health-security.rnbo.gov.ua/api/vaccination/process/chart?vaccines=&dose=1&distributionBy=age&regionId=135,88,25,25,0,27,0,0,0,3,0,0,0,2636,1050,1586,165,1115,1050,65,139,54,34,25,21,19,9,0,0,0,0,0,null,0,0,0,0,0,0,0
